ID,Northern,Central
27,จั๋น เป็ง ผ่อ บะ เต้า แก่น นี้ ลอ แก่น เต้า บ้าน นิ มน อุ้ม ลุ้ม เดว จะ ซื้อ ไป ฝาก ไอ่ หล้า น้อย ตี้ บ้าน ก่อน,จัน เป็ง ดู แตง โม ลูก นี้ สิ ลูก เท่า บ้าน เลย กลม มาก มาก ด้วย เดี๋ยว ว่า จะ ไป ซื้อ ฝาก หลาน น้อย ที่ บ้าน ด้วย
28,แม่ อุ้ย แก้ว เจ้า วัน นี้ ตี้ วัด มี งาน หยัง ก่า เจ้า หัน เปิ้น จ้วย แป๋ง กับ ข้าว กั๋น,ยาย แก้ว คะ วัน นี้ ที่ วัด เขา จัด งาน อะ ไร กัน คะ เห็น เขา ช่วย กัน ทำ อา หาร
29,ลอน ดอน มี รถ ไฟ ใต้ ดิน มา เมิน แล้ว เป๋น แห่ง แรก ใน โลก ตี้ คิด ใจ้ ระ บบ ขน ส่ง ผู้ โดย สาร วิ ธี นี้,ลอน ดอน มี รถ ใต้ ดิน มา นม นาน แล้ว เป็น แห่ง แรก ใน โลก ที่ คิด ใช้ ระ บบ ขน ส่ง ผู้ โดย สาร ด้วย วิ ธี นี้
30,บะ เดี่ยว นี้ หมอ เปิ้น มา บอก หื้อ ไป ฉีด วัคซีน เหีย เน่อ เฮา เป๋น คน เถ้า ติ๊ด โลค ง่าย,ตอน นี้ หมอ มา บอก ให้ ไป ฉีด วัคซีน เสีย นะ เรา เป็น ผู้ สูง อา ยุ ติด โรค ง่าย
31,อ้อ อ๊อย ลูก หล้า อิน ดู ล้ำ ป้อ แม่ ไป อยู่ ตาง ใด กั๋น หมด ละ ลูก หื้อ อยู่ คน เดว,โถ หนู น้อย น่า สงสาร จัง พ่อ แม่ ไป ไหน กัน หมด ทิ้ง ลูก ให้ อยู่ คน เดียว
32,ใน ป่า บน ดอย ใผ มี ผ้า อนามัย ไว้ ใจ้ กั๋น อย่าง เปื้อน แม่ ญิง เฮา เขา ก่อ ใจ้ ผ้า ขาว บาง ไว้ ซับ ใน ใจ้ แล้ว ก่อ ซัก,ใน ป่า บน เขา ใคร เขา มี ผ้า อนามัย ไว้ ใช้ กัน อย่าง เพื่อน หญิง ของ เรา พวก เขา ก็ ใช้ ผ้า ขาว บาง เอา ไว้ ซับ ข้าง ใน ใช้ แล้ว ซัก
33,เมื่อ ใด จะ มี โจ้ก อย่าง เปิ้น พ่อง ซื้อ หวย กี้ งวด ก่อ บ่า ถูก ราง วัล ที่ นึ่ง ซัก เตื้อ,เมื่อ ไหร่ จะ มี โชค เหมือน เขา บ้าง ซื้อ หวย กี่ งวด ก็ ไม่ ถูก ราง วัล ที่ หนึ่ง ซัก ที
34,ตะ กี้ ก็ หัน มัน ขึ้น สว่าย เก๊า หม่า แก๋ว อยู่ หนา บ่า เดี่ยว นี้ หาย ไป ไหน แหม ละ ก็ บ่ ฮู้ ว่า จะ หื้อ มัน ไป ขึ้น เก๊า หม่า ปิน หื้อ กำ,เมื่อ กี้ เห็น มัน ขึ้น ขย่ม ต้น ฝรั่ง อยู่ นะ ตอน นี้ หาย ไป ไหน อีก ละ ก็ ไม่ รู้ ว่า จะ ให้ มัน ไป ปีน ต้น มะ ตูม ให้ หน่อย
35,นั่น เปิ้น เปิด ข่วง หั้น ละ คิง บ่ ลง ไป ฟ้อน เจิง ตวย เปิ้น ก๋า หัน โว ว่า มี เจิง นั้น เจิง นี้ ลง ไป แล่,นั่น เขา เปิด ลาน นั่น ละ เอ็ง ไม่ ลง ไป ฟ้อน เจิง กับ เขา เหรอ หัน คุย อวด ว่า มี เจิง นั้น เจิง นี้ ลง ไป สิ
36,จะ ไป เยียะ จะ อั้น ไป ไกล๋ ไกล๋ เลย เปิ้น บอก อะ หยัง ยัง บ่ ฟัง เหีย พ่อง เปิ้น เดือด ก่อ ว่า เป็น เดือด,อย่า ไป ทำ แบบ นั้น ไป ไกล ไกล เลย เขา บอก อะ ไร ทำ ไม ไม่ ฟัง บ้าง เค้า ด่า ก็ ว่า เค้า ด่า
37,โคะ บ่า ได้ ป๊ะ กั๋น จ้าด เมิน ปอ ใหญ่ ขนาด นี้ แล้ว ก๋า หยัง มา ใหญ่ เวย ปี๋ นี้ อา ยุ เต้า ใด ละ ลูก,โห ไม่ ได้ เจอ กัน ตั้ง นาน โต ขนาด นี้ แล้ว หรอ เนี่ย ทำ ไม โต ไว จัง ปี นี้ อา ยุ เท่า ไหร่ แล้ว ลูก
38,ปาด โทะ เทอม นี้ ลูก หยัง มา ได้ เกรด นัก แต้ จะ อี้ ก่า ป้อ กับ แม่ จะ ได้ มี แฮง เซาะ ซะ ตาง หื้อ เฮียน,โอ้ โห เทอม นี้ ทำ ไม ลูก ได้ เกรด เยอะ จัง แบบ นี้ สิ พ่อ กับ แม่ จะ ได้ มี แรง หา เงิน ให้ เรียน
39,เฮา บ่ มี บ่ ดี ไป ขอย เปิ้น ก้อย ฮิ ก้อย หา กั๋น ไป ฮ่อม ใผ ฮ่อม มัน อด เอา เต้อะ,เรา ไม่ มี ไม่ ควร ไป อิจฉา เขา ค่อย ริ ค่อย หา ไป ทาง ใคร ทาง มัน อด ทน เถอะ
40,แต้ ก๊ะ อั้น วัน พูก เลิก เฮียน เฮา ไป ตวย กั๋น บ่อ เปิ้น อยู่ บ้าน บ่า ดาย ก่า ง่อม จะ ได้ มี กู่ แอ่ว โดย,จริง เหรอ งั้น วัน พรุ่ง นี้ เลิก เรียน เรา ไป ด้วย กัน มั้ย เรา อยู่ บ้าน เฉย เฉย ก็ เหงา จะ ได้ มี เพื่อน เที่ยว ด้วย
41,น้อง จอย วัน พูก ว่าง ก่อ ว่า จะ จวน ไป ผ่อ หนัง ตี้ โฮง หนัง ละ ก่อ ซื้อ คัว ไป แอ่ว วัน ติ้ด นี้ โตย,น้อง จอย วัน พรุ่ง นี้ ว่าง ไหม ว่า จะ ชวน ไป ดู หนัง ที่ โรง หนัง แล้ว ก็ ซื้อ ของ ไป เที่ยว วัน อาทิตย์ นี้ ด้วย
42,ใน วัน ตี้ คิง บ่า หมี ใผ คิง ยัง มี ฮา หนา บะ มี อะ หยัง ก่อ บอก ฮา ได้ ฮา พ้อม จะ จ้วย คิง เสมอ เปื้อน ฮัก,ใน วัน ที่ มึง ไม่ มี ใคร มึง ยัง มี กู นะ เว้ย มี อะ ไร ก็ บอก กู ได้ กู พร้อม จะ ช่วย มึง เสมอ นะ เพื่อน รัก
43,วัน นี้ ตั๋ว ว่า จะ มา หา เปิ้น ยะ หยัง บ่ มา สัก กำ เปิ้น ก๊าน ถ้า ตั๋ว จ้าด เมิน,วัน นี้ เธอ บอก ว่า จะ มา หา ฉัน ทำ ไม กลับ ไม่ มา หา ล่ะ ฉัน อุตส่าห์ รอ เธอ ตั้ง นาน
44,วัน นี้ เยียะ ก๋าน แล้ว เวย น่อ เฮา ไป เซาะ ซื้อ คัว ตี้ กาด แลง ตวย กั๋น บ๋อ,วัน นี้ ทำ งาน เสร็จ ไว นะ เรา ไป หา ซื้อ ของ ที่ ตลาด นัด ตอน เย็น ด้วย กัน ไหม
45,ลุง ข้าง บ้าน บ่า เด่ว ไป บวช เป๋น ตุ้ เจ้า เหีย ละ สมัย ตะ ก่อน กิ๋น ก้า เหล้า บ่า เยียะ ก๋าน เยียะ งาน,ลุง ข้าง บ้าน ตอน นี้ ไป บวช เป็น พระ ซะ ละ สมัย ก่อน ดื่ม แต่ เหล้า ไม่ ทำ การ ทำ งาน
46,เปิ้น ใคร่ อยาก กิ๋น เข้า หน้า ป๋า เหยี่ยน ตั๋ว แป๋ง หื้อ เปิ้น กิน กำ ได้ ก่อ บ่า อั้น ก่อ ไป ซื้อ ตี้ กาด มา หื้อ ก่อ ได้,ฉัน อยาก กิน ข้าว หน้า ปลา ไหล เธอ ทำ ให้ ฉัน กิน หน่อย ได้ มั้ย ไม่ งั้น ก็ ไป ซื้อ ที่ ตลาด มา ให้ ก็ ได้
47,เสื้อ ตั๋ว นี้ มัน กั้บ ละ ตั๋ว เอา ไป ใส่ เหีย มี ใน ตู้ แหม ปะ เลอะ ตั๋ว ใคร่ ได้ ตั๋ว ไหน ก่อ ไป เลือก เอา เลย,เสื้อ ตัว นี้ มัน คับ ละ เธอ เอา ไป ใส่ เถอะ มี ใน ตู้ อีก เยอะ แยะ เธอ อยาก ได้ ตัว ไหน ก็ ไป เลือก เอา เลย
48,แม่ อุ๊ย บ่ สบาย ได้ นอน โฮง ยา ตะ วา เมื่อ แลง กิ๋น แก๋ง แค ละ หลุ ต๊อง หมอ ว่า อา หาร เป๋น พิษ,ยาย ไม่ สบาย หมอ ให้ นอน โรง พยาบาล เมื่อ วาน กิน แกง แค แล้ว ท้อง เสีย หมอ บอก ว่า อา หาร เป็น พิษ
49,ตะ วา นี้ แม่ ข้า เจ้า เป๋น อะ หยัง กา หัน ว่า มา หา หมอ แล้ว ซึม ไป จ๋น ปอ บ่ กิ๋น อะ หยัง เลย เจ้า,เมื่อ วาน นี้ แม่ หนู เป็น อะ ไร หรือ เปล่า คะ เห็น ว่า มา หา หมอ แล้ว ซึม จน ไม่ ยอม กิน อะ ไร เลย ค่ะ
50,มะ ตอน คือ ฮ้อน ขนาด บ่า ไหว แล้ว ใคร่ โต๋น น้ำ หื้อ มัน แล้ว แล้ว ไป เหีย หยัง มา ฮ้อน ล้ำ ฮ้อน เหลือ,กลาง วัน คือ ร้อน มาก ไม่ ไหว แล้ว อยาก กระ โดด น้ำ ให้ เสีย ให้ รู้ แล้ว รู้ รอด ทำ ไม มัน ร้อน ขนาด นี้
51,ก๋าน คมนาคม ใน เมือง นี้ มัน มี นัก แต้ ตึง รถ ไฟ ฟ้า รถ ไฟ ใต้ ดิน รถ สาธารณะ รถ แท็ก ซี่ หรือ ว่า จะ เตียว ต๋าม ตาง ก็ ได้,การ คมนาคม ใน เมือง นี้ มัน มี มาก มาย ซะ จริง ทั้ง รถ ไฟ รถ ไฟ ใต้ ดิน รถ สาธารณะ รถ แท็ก ซี่ หรือ ว่า จะ เดิน ตาม ฟุต บาท ก็ ได้
52,ข้า เจ้า เป๋น ผู้ อำ นวย ก๋าน โฮง เฮียน บ้าน ศา ลา ดอน จื้อ ปิม ปา เจ้า ตี้ หนี้ มี นัก เฮียน เก้า สิบ สี่ คน,ดิ ฉัน เป็น ผู้ อำ นวย การ โรง เรียน บ้าน ศา ลา ดอน ชื่อ พิม พา ค่ะ ที่ นี่ มี นัก เรียน เก้า สิบ สี่ คน
53,อ้าย คำ จ่ม กับ อ้าย มา ว่า ตึง ได้ กิ๋น แหนง มา แอ่ว ตี้ นี้ กับ ข้าว ก่อ แปง ม่วน ก่อ บ่ ม่วน สะ หลำ ได้ ปา กั๋น มา แอ่ว,พี่ คำ บ่น กับ พี่ มา ว่า ยัง ไง ก็ เสีย เที่ยว ที่ มา เที่ยว ที่ นี่ กับ ข้าว ก็ แพง สนุก ก็ ไม่ สนุก พลาด ที่ ได้ พา กัน มา เที่ยว
54,ปั้วะ ตะ กี้ หัน ป้อ อุ้ย แก่ เปี๋ย ผ้า ต่อง เคียน แอว แล้ว เตียว เข้า ไป ตี้ โปง ปุ้น ละ,โน้น นะ เมื่อ กี้ เห็น ตา แก่ คว้า ผ้า ขาว ม้า เคียน เอว แล้ว เดิน เข้า ไป ใน สวน ป่า โน่น ละ
55,แหม สัก กำ แม่ จะ ไป ย้อม ผม ตี้ ร้าน ป้า อ้อย เน้อ ปิ๊ก มา เมื่อ แลง ปุ้น นะ ฝาก เอา เข้า หื้อ แมว โตย,อีก สัก พัก แม่ จะ ไป ย้อม ผม ร้าน ป้า อ้อย นะ กลับ มา ตอน เย็น เย็น นู้น แหละ ฝาก เอา ข้าว ให้ แมว ด้วย
56,พูก เฮา ไป ซื้อ จิ้น มา แป๋ง ลาบ บ่ เปิ้น ใคร่ อยาก มา เมิน ละ อะ ก้า กึ้ด ก่อ เป๋น ดี ลำ ละ,พรุ่ง นี้ เรา ซื้อ เนื้อ มา ทำ ลาบ มั้ย เค้า อยาก กิน มา นาน แล้ว อะ แค่ นึก ก็ อร่อย แล้ว
57,โหะ ก็ หัน ขี่ รถ ฟั่ง ไป จ้วย งาน แต่ง บ้าน ใต้ แล้ว งฺว้าย ปิ๊ก มา ยะ หยัง ลืม ซอง กา กา ว่า ลืม ครัว,โอ้ะ ก็ เห็น ขี่ รถ รีบ ไป ช่วย งาม แต่ง บ้าน โน้น แล้ว ทำ ไม ถึง วก กลับ มา ลืม ซอง เหรอ หรือ ว่า ลืม ของ
58,ป้อ เฮา ปิ๊ก บ้าน ละ บ๋อ น้อง บ่ อยาก ผ่อ หมี แพนด้า แล้ว น้อง ใคร่ ขี้ น้อง อยาก ไป ขี้ ตี้ บ้าน,พ่อ เรา กลับ บ้าน แล้ว ดี ไหม หนู ไม่ อยาก ดู หมี แพนด้า แล้ว น้อง อยาก อึ อยาก กลับ ไป อึ ที่ บ้าน
59,เจียง ใหม่ เฮา มี สถาน ตี้ หื้อ แอ่ว นัก ขนาด เน้อ ตั๋ว ลอง มา แอ่ว ซัก เตื้อ ก่า รับ รอง ติด ใจ๋ แน่ นอน,เชียง ใหม่ เรา มี สถาน ที่ ให้ เที่ยว เยอะ มาก นะ เธอ ลอง มา เที่ยว สัก ครั้ง สิ รับ รอง ติด ใจ แน่ นอน
60,ตะ วา อนามัย เปิ้น มา ตรวจ ตี้ กาด หัน เปิ้น ว่า มี ฮ้าน ขาย กับ ข้าว บ่ สะ อาด พล่าน จะ หลุ ต๊อง น่อ,เมื่อ วาน อนามัย เขา มา ตรวจ ที่ ตลาด เห็น เขา ว่า มี ร้าน ทำ อา หาร ไม่ สะ อาด คิด แล้ว ก็ กลัว จะ ท้อง เสีย เลย
61,ตี้ ปุ๊น ฝน ตก ก่อ บ้าน เฮา ตก นัก ขนาด คะ เติง หา ตั๋ว ขนาด เน้อ ขะ ใจ๋ ปิ้ก มา อยู่ ตวย กั๋น,ที่ นู้น ฝน ตก มั้ย บ้าน เรา ตก หนัก มาก คิด ถึง เธอ มาก นะ รีบ กลับ มา อยู่ ด้วย กัน
62,กับ ข้าว ล้าน ตะ วา บ่า ลำ ใบ้ บ่า ลำ ง่าว กิ๋น เตื้อ เดียว ตึง บ่า กิ๋น แหม เลย ซ้ำ ขาย แปง เหีย,กับ ข้าว ร้าน เมื่อ วาน คือ ไม่ อร่อย มาก กิน ครั้ง เดียว ขอ ไม่ กิน อีก เลย ขาย แพง ด้วย
63,หัน ตุ๊ หลวง ว่า มี โยม จา กระ ยอง มา เป็น เจ้า ภาพ แป๋ง ก่ำ แปง วัด เฮา และ เน้อ,เห็น เจ้า อา วาส บอก ว่า มี โยม จาก ระ ยอง มา เป็น เจ้า ภาพ สร้าง กำ แพง วัด ละ นะ
64,ใคร่ ได้ ผ้า ตุ้ม ใหม่ ขนาด ผืน นี้ มัน เมิน แล้ว อะ ถ้า ได้ ใหม่ สี ท่า จะ อุ่น ขนาด,อยาก ได้ ผ้า ห่ม ใหม่ มาก เลย ผืน นี้ มัน เก่า แล้ว อะ ถ้า ได้ ใหม่ น่า จะ อุ่น มาก มาก เลย
65,ลูก ขะ ใจ๋ ไป อาบ น้ำ แต่ง ตั๋ว แม่ จะ ฟั่ง ไป กาด ไป ลี ไป ซื้อ คัว เข้า บ้าน ก่อน หนา,ลูก รีบ ไป อาบ น้ำ แต่ง ตัว แม่ จะ รีบ ไป ตลาด ซื้อ ของ มา ไว้ ที่ บ้าน นะ
66,อิ๊ด ขนาด เตว ลุก บ้าน จ๋น แผว โฮง เฮียน ฟั่ง ก่อ ฟั่ง รถ เคื่อง ก่อ ซ้ำ มา หลุ้ แหม,เหนื่อย มาก เดิน จาก บ้าน จน ถึง โรง เรียน รีบ ก็ รีบ รถ เครื่อง ก็ มา พัง อีก
67,ต๋อน แลง นี่ เปิ้น ขี่ รถ ก๋าย ไป ต๋าม คู เมือง หัน เปิ้น ก๋าง เต้นท์ เป๋น จุด เป๋น จุด ท่า จะ จัด งาน สืบ จ๊ะ ต๋า เมือง ก้า หา,เมื่อ ตอน เย็น นี้ เรา ขับ รถ ไป ตาม คู เมือง เห็น เขา กาง เต็นท์ จัด งาน กัน น่า จะ จัด งาน สืบ ชะ ตา เมือง สิ นะ
68,อยู่ บ่า ดาย ก่อ เอา ยู มา กวาด เฮือน หื้อ แม่ กำ เน้อ แม่ เจ็บ แอว จ้วย แม่ กำ เน้อ,อยู่ เฉย เฉย ก็ เอา ไม้ กวาด มา กวาด บ้าน ให้ แม่ หน่อย นะ แม่ ปวด เอว ช่วย แม่ ด้วย นะ
